Name,Gender,Age,City,State,Country,Join_Date,Income,Income_Group,Education,Marital_Status,Number_of_Children,Churn_Flag,customer_id
Charles Hoover,Male,26,Susanhaven,Oregon,USA,10/10/2023,88012.97,Middle,High School,Married,2,0,1000
Whitney Knight,Female,25,South Christopher,Colorado,USA,1/13/2022,64936.73,Middle,PhD,Single,1,0,1001
Maria Smith,Male,48,Campbellberg,Virginia,USA,4/20/2023,57969.11,Lower-Middle,Associate Degree,Single,1,0,1002
Reginald Moore,Male,71,Laurenborough,Kentucky,USA,7/16/2021,72535.51,Middle,Associate Degree,Married,0,0,1003
Timothy Nelson,Male,44,Claytonton,Virginia,USA,5/30/2023,41537.21,Lower-Middle,Associate Degree,Divorced,0,0,1004
Martha Martinez,Female,24,New John,Oklahoma,USA,6/3/2022,56709.77,Lower-Middle,Bachelor's,Married,2,0,1005
Diane Gibbs,Male,33,Coryside,Illinois,USA,10/29/2020,63926.49,Middle,Master's,Single,1,0,1006
Robert Cook,Male,35,Lake Kristineview,California,USA,1/10/2023,70790.57,Middle,Bachelor's,Married,1,1,1007
Karen Evans,Male,38,North Michaelview,North Carolina,USA,3/6/2024,63615.93,Middle,High School,Married,0,0,1008
Mark Spencer,Female,23,West Scott,North Dakota,USA,12/22/2021,40664.21,Lower-Middle,Bachelor's,Married,5,0,1009
Stephanie Gomez,Male,65,Danielsberg,California,USA,11/18/2022,46725.69,Lower-Middle,Bachelor's,Single,0,0,1010
Zachary Morgan,Male,45,Kerrville,Iowa,USA,2/1/2022,53534.9,Lower-Middle,Bachelor's,Single,0,0,1011
Troy Gonzalez,Male,51,Nguyenmouth,Washington,USA,12/15/2023,63623.61,Middle,High School,Married,3,0,1012
Michael Henry,Male,25,Jonesside,Kansas,USA,1/24/2025,40546.13,Lower-Middle,Bachelor's,Married,2,0,1013
Kelly Bryant,Female,24,Christophertown,Indiana,USA,1/27/2025,81136.4,Middle,High School,Married,1,0,1014
Michael Ware,Male,47,New Jackberg,Massachusetts,USA,11/4/2020,64693.62,Middle,Associate Degree,Married,1,1,1015
Shawn Cobb,Female,63,West Paul,Illinois,USA,8/20/2020,64285.85,Middle,Bachelor's,Married,1,0,1016
Brittany Schmidt,Female,45,East Stephanie,Kansas,USA,5/3/2020,57402.56,Lower-Middle,Associate Degree,Married,1,0,1017
Karen Gregory,Female,62,Jaketon,Tennessee,USA,2/3/2022,38350.16,Lower-Middle,High School,Single,2,0,1018
Gary Cummings,Male,58,Lake Stacie,Vermont,USA,4/30/2023,61362.17,Middle,High School,Married,1,0,1019
Melissa Huynh,Female,26,Rachaelburgh,Louisiana,USA,12/26/2021,71223.51,Middle,Bachelor's,Single,1,0,1020
Jordan Potts,Male,33,West Curtis,Missouri,USA,11/9/2022,57701.02,Lower-Middle,Associate Degree,Single,1,0,1021
Kristin Cline,Female,50,East Aliciaport,Idaho,USA,3/27/2024,76037.37,Middle,PhD,Single,1,0,1022
Molly Wilson,Female,42,Bauerfort,South Carolina,USA,2/28/2025,59065.13,Lower-Middle,Bachelor's,Married,0,0,1023
Mary Brooks,Female,37,South Jose,Delaware,USA,3/6/2024,70440.39,Middle,Associate Degree,Single,0,0,1024
Kevin Cole,Female,41,South Emilyside,Louisiana,USA,5/21/2020,58339.09,Lower-Middle,Associate Degree,Married,2,1,1025
Erika Allen,Female,42,Porterview,Wisconsin,USA,5/26/2023,65690.21,Middle,High School,Single,2,0,1026
Gregory Gonzalez,Female,65,Port Caseyland,Nebraska,USA,5/26/2020,73021.89,Middle,Bachelor's,Married,1,0,1027
Janet Howard,Female,27,North Meganland,Georgia,USA,7/14/2023,43793.78,Lower-Middle,Bachelor's,Single,1,1,1028
Courtney Russell MD,Female,36,Port Leslie,Illinois,USA,6/28/2022,69709.75,Middle,Master's,Single,1,0,1029
Elizabeth Stone,Male,45,Turnerville,Louisiana,USA,11/28/2021,75814.65,Middle,Associate Degree,Married,0,0,1030
Monique Wheeler,Male,52,Lake Elizabeth,Alabama,USA,3/30/2021,92855.82,Upper-Middle,Associate Degree,Divorced,1,0,1031
Mark Smith,Female,49,New Andrew,Nebraska,USA,6/30/2020,61067.28,Middle,Bachelor's,Single,1,0,1032
Taylor Morrison,Female,69,North Philipfort,New York,USA,8/30/2023,28511.91,Low,Bachelor's,Single,2,1,1033
Derek Mccall,Female,57,West Wandabury,Idaho,USA,8/17/2023,33287.45,Lower-Middle,Master's,Married,3,0,1034
Allison Murphy,Male,46,Clarkstad,Louisiana,USA,5/8/2023,46692.66,Lower-Middle,PhD,Married,1,0,1035
Kim Morris,Female,33,Evansside,Kentucky,USA,7/27/2024,79236.33,Middle,High School,Single,1,1,1036
David Lam,Male,43,South Georgefurt,Maryland,USA,3/29/2025,92951.3,Upper-Middle,Master's,Married,1,0,1037
Benjamin Garcia,Male,52,Davisville,Minnesota,USA,6/16/2024,53903.2,Lower-Middle,High School,Married,3,0,1038
Robert Ruiz,Male,60,East Timothyfort,Texas,USA,5/26/2020,60798.78,Middle,PhD,Married,2,0,1039
Scott Page,Male,71,Adamtown,Oklahoma,USA,5/22/2021,21281.36,Low,High School,Married,1,0,1040
